Date,Time,Open,High,Low,Adj Close,Volumne
2021.12.02,17:10,56453.51,56522.64,56381.24,56452.84,356
2021.12.02,17:15,56463.36,56580.51,56359.93,56471.54,382
2021.12.02,17:20,56459.17,56587.97,56459.17,56572.41,335
2021.12.02,17:25,56570.56,56577.99,56452.61,56537.34,335
2021.12.02,17:30,56537.78,56679.91,56537.78,56589.84,342
2021.12.02,17:35,56593.69,56643.69,56450.36,56546.77,364
2021.12.02,17:40,56552.26,56641.04,56499.99,56533.57,354
2021.12.02,17:45,56534.71,56594.66,56478.79,56589.74,333
2021.12.02,17:50,56588.17,56661.42,56441.1,56537.4,352
2021.12.02,17:55,56537.56,56633.53,56497.82,56574.46,322
2021.12.02,18:00,56577.79,56590.17,56389.17,56486,396
2021.12.02,18:05,56486.01,56556.66,56301.37,56364.14,361
2021.12.02,18:10,56361.19,56435.64,56271.5,56435.64,362
2021.12.02,18:15,56440.73,56454.63,56302.68,56338.83,365
2021.12.02,18:20,56339.38,56421.17,56199.02,56219.76,371
2021.12.02,18:25,56219.6,56265.49,56087.66,56169.31,397
2021.12.02,18:30,56178.46,56450.79,56074.5,56404.36,403
2021.12.02,18:35,56409.36,56507.63,56255.77,56423.26,379
2021.12.02,18:40,56425.36,56518.93,56413.8,56475.9,335
2021.12.02,18:45,56475.84,56475.84,56287.92,56357.17,351
2021.12.02,18:50,56356.58,56648.98,56335.07,56648.98,366
2021.12.02,18:55,56651.2,56751.6,56625.48,56702.64,357
2021.12.02,19:00,56700.75,56816.49,56646.11,56796.06,372
2021.12.02,19:05,56796.8,56799.04,56601.77,56740.25,375
2021.12.02,19:10,56739.66,56941.77,56669.58,56785.97,416
2021.12.02,19:15,56780.66,56949.95,56779.69,56862.82,347
2021.12.02,19:20,56863.98,56887.12,56771.09,56827.33,359
2021.12.02,19:25,56827.74,56854.62,56640.97,56749,350
2021.12.02,19:30,56748.34,56838.17,56656.96,56754.7,358
2021.12.02,19:35,56756.26,56766.95,56571.09,56628.62,351
2021.12.02,19:40,56629.93,56645.56,56543.61,56586.25,329
2021.12.02,19:45,56590.35,56677.02,56481.83,56505.46,357
2021.12.02,19:50,56492.28,56644.96,56492.28,56558.37,368
2021.12.02,19:55,56561.13,56668.48,56545.32,56592.42,339
2021.12.02,20:00,56600.32,56695.72,56500.99,56563.65,343
2021.12.02,20:05,56566.13,56996.88,56550.9,56950.98,423
2021.12.02,20:10,56955.16,56955.16,56722.6,56881.79,379
2021.12.02,20:15,56887.28,56969.54,56818.19,56841.66,355
2021.12.02,20:20,56841.44,56885.09,56763.59,56861.09,354
2021.12.02,20:25,56866.74,57001.19,56861.7,56985.73,342
2021.12.02,20:30,56987.6,57129.09,56975.3,57081.45,361
2021.12.02,20:35,57082.57,57145.21,57012.53,57095.42,334
2021.12.02,20:40,57098.6,57243.97,57096.18,57195.19,355
2021.12.02,20:45,57196.9,57210.57,56961.54,57080.98,385
2021.12.02,20:50,57090.17,57114.38,56865.62,56993.11,400
2021.12.02,20:55,56998.1,57025.63,56890.98,57010.53,377
2021.12.02,21:00,57018.98,57059.29,56829.3,56886.54,352
2021.12.02,21:05,56885.15,56948.94,56838.88,56863.19,340
2021.12.02,21:10,56864.01,56908.08,56783.79,56817.51,328
2021.12.02,21:15,56821.62,56937.94,56811.85,56890.9,318
2021.12.02,21:20,56889.94,56931.65,56850.8,56887.11,313
2021.12.02,21:25,56891.59,56899.53,56775.77,56814.55,324
2021.12.02,21:30,56813.26,56939.21,56809.88,56882.34,318
2021.12.02,21:35,56881.57,56943.98,56864.65,56897.75,317
2021.12.02,21:40,56894.51,57028.04,56890.54,57025.12,314
2021.12.02,21:45,57025.4,57034.42,56852.57,56921.15,326
2021.12.02,21:50,56907.69,56932.39,56830.46,56866.15,320
2021.12.02,21:55,56870.8,56888.26,56823.86,56851.55,309
2021.12.02,22:00,56853.34,56853.34,56661.12,56731.33,343
2021.12.02,22:05,56734.74,56806.74,56721.51,56771.63,314
2021.12.02,22:10,56774.41,56779.64,56704.93,56779.64,307
2021.12.02,22:15,56780.14,56782.71,56628.2,56702,320
2021.12.02,22:20,56705.45,56760.82,56675.49,56753.99,308
2021.12.02,22:25,56754.47,56775.17,56698.01,56719.03,306
2021.12.02,22:30,56718.39,56783.87,56707.29,56768.68,293
2021.12.02,22:35,56769.98,56849.97,56725.39,56823.97,304
2021.12.02,22:40,56824.07,56874.14,56806.87,56873,297
2021.12.02,22:45,56873.49,56907,56576.94,56890.39,348
2021.12.02,22:50,56894.26,56895.35,56734.75,56833.39,326
2021.12.02,22:55,56831.56,56916.29,56728.3,56865,327
2021.12.02,23:00,56866.72,56867.89,56702.23,56723.44,337
2021.12.02,23:05,56713.61,56923.09,56672.67,56860.58,358
2021.12.02,23:10,56857.18,56860.48,56737.56,56754.7,333
2021.12.02,23:15,56749.81,56827.89,56580.33,56619.67,344
2021.12.02,23:20,56620.57,56679.06,56516.33,56558.35,367
2021.12.02,23:25,56560.68,56601.21,56500.19,56539.84,331
2021.12.02,23:30,56540.47,56619.78,56444.23,56619.78,355
2021.12.02,23:35,56620.49,56642.64,56516.77,56571.11,346
2021.12.02,23:40,56570.88,56575.74,56456.9,56513.11,338
2021.12.02,23:45,56513.31,56583.46,56448.85,56545.37,328
2021.12.02,23:50,56549.7,56561.04,56363.19,56393.72,367
2021.12.02,23:55,56388.01,56504.87,56315.13,56489.4,350
2021.12.03,0:00,56489.38,56562.14,56397.23,56508.27,341
2021.12.03,0:05,56511.52,56567.77,56424.81,56468,341
2021.12.03,0:10,56462.57,56603.32,56414.69,56533.71,330
2021.12.03,0:15,56533.96,56634.46,56525.19,56540.64,326
2021.12.03,0:20,56540.92,56622.21,56401.8,56424.32,352
2021.12.03,0:25,56425.08,56520.44,56425.08,56500.37,327
2021.12.03,0:30,56502.49,56767.31,56499.29,56761.08,335
2021.12.03,0:35,56761.37,56772.98,56603.13,56618.93,339
2021.12.03,0:40,56618.48,56692.67,56564.88,56643.78,331
2021.12.03,0:45,56648.66,56669.67,56583.61,56592.14,320
2021.12.03,0:50,56593.89,56676.65,56575.33,56602.02,314
2021.12.03,0:55,56601.99,56661.18,56523.14,56529.32,316
2021.12.03,1:00,56524.8,56642.5,56495.84,56580.87,320
2021.12.03,1:05,56581.99,56707.95,56574.63,56654.13,308
2021.12.03,1:10,56658.51,56720.81,56576.33,56585.32,320
2021.12.03,1:15,56585.63,56722.38,56578.27,56722.38,324
2021.12.03,1:20,56720.59,56722.31,56556.22,56572.42,321
2021.12.03,1:25,56567.27,56570.09,56429.5,56517.11,332
2021.12.03,1:30,56517.08,56596.13,56438.07,56580.17,327
2021.12.03,1:35,56565.88,56596.23,56464.45,56515.01,314
2021.12.03,1:40,56519.76,56530.7,56425.4,56463.11,325
2021.12.03,1:45,56463.26,56473.22,56364.2,56407.17,334
2021.12.03,1:50,56407.06,56521.12,56361.84,56521.12,328
2021.12.03,1:55,56522.04,56602.43,56496.4,56514.34,325
2021.12.03,2:00,56514.87,56588.8,56487.92,56513.03,313
2021.12.03,2:05,56514.47,56557.16,56451.62,56475.73,301
2021.12.03,2:10,56475.07,56555.94,56407.52,56537.09,323
2021.12.03,2:15,56540.1,56583.13,56507.17,56545.57,312
2021.12.03,2:20,56545.23,56561.81,56447.83,56464.38,310
2021.12.03,2:25,56457.49,56498.04,56363.98,56433.26,324
2021.12.03,2:30,56434.26,56465.9,56305.11,56327.56,335
2021.12.03,2:35,56325.46,56341.02,56235.59,56291.53,333
2021.12.03,2:40,56290.9,56314.75,56157.83,56191.68,341
2021.12.03,2:45,56193.95,56377.68,56026.29,56356.74,420
2021.12.03,2:50,56358.06,56364.36,56030.65,56080.24,357
